X,Y,fid,gis_id,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,street_tag,prcl_pin,address,city,state,zipcode,x_coord,y_coord,name,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,globalid,url
-8526344.898,4762161.315,1090,27_1090, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1820001,814 S BROADWAY,Baltimore,MD,21231,1427412.092,588584.0313,SOUTHERN ACCENTS, ,Fells Point,1,2.45102E+13,2,SOUTHEASTERN,18S UJ 62566 49292, , , ,{B313263E-3B35-4CF5-8F0F-F36BD0F0B77C}, 
-8527904.586,4760836.758,1091,27_1091, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1930029,430 E FORT AVE,Baltimore,MD,21230,1423460.519,585211.8979,SOUTHSIDE SALOON, ,Riverside,10,2.45102E+14,9,SOUTHERN,18S UJ 61339 48291, , , ,{9CC15E83-0E1C-407B-BF36-972837E945D0}, 
-8522230.928,4762871.001,1092,27_1092, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,6553001,4706  EASTERN ave,Baltimore,MD,21224,1437864.413,590430.015,SOUVLAKI  PLACE, ,Greektown,2,2.45103E+14,2,SOUTHEASTERN,18S UJ 65763 49784, , , ,{6C1AFD48-5373-4D70-A6B5-ABDE156FAA96}, 
-8523413.441,4762811.656,1093,27_1093, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,6315008,3600  EASTERN AVE,Baltimore,MD,21224,1434858.428,590265.2942,SPARTAN PIZZERIA RESTAURANT, ,Highlandtown,2,2.45103E+14,2,SOUTHEASTERN,18S UJ 64846 49754, , , ,{82162851-FB21-475F-8AE7-E3E0C93D8B5D}, 
-8524339.723,4761907.337,1094,27_1094, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1883051,2840  O'DONNELL ST,Baltimore,MD,21224,1432513.869,587964.012,SPEAKEASY SALOON, ,Canton,1,2.45101E+13,2,SOUTHEASTERN,18S UJ 64116 49069, , , ,{D4854121-83FE-4933-8AA9-0D3127E0DA52}, 
-8529405.672,4763282.764,1095,27_1095, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,632003,12 N EUTAW ST,Baltimore,MD,21201,1419617.312,591390.5625,SPECTRUM CATERING, ,Downtown,11,2.45104E+13,1,CENTRAL,18S UJ 60210 50199, , , ,{61950C28-9013-4B24-9519-46C8E501A74C}, 
-8532511.951,4763535.315,1096,27_1096, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,162074,255 N PAYSON ST,Baltimore,MD,21223,1411717.014,591998.5078,SPIRITS & MORE, ,Penrose/Fayette Street Outreach,9,2.45102E+14,7,WESTERN,18S UJ 57807 50438, , , ,{9919213F-326B-4B5E-87C2-BB2FD1B47A0E}, 
-8525974.912,4762830.266,1097,27_1097, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1773001,1901  BANK ST,Baltimore,MD,21231,1428345.29,590282.3606,SPIRITS TAVERN, ,Upper Fells Point,1,2.45102E+13,2,SOUTHEASTERN,18S UJ 62862 49803, , , ,{40E4E0C5-33DC-4346-88D4-35966218A843}, 
-8533313.62,4761696.467,1098,27_1098, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,2100001,2601  WILKENS AVE,Baltimore,MD,21223,1409696.332,587333.8945,"SPIRITS WEST,INC", ,Millhill,9,2.45102E+14,8,SOUTHWESTERN,18S UJ 57160 49030, , , ,{03D5127E-BDB3-4E1B-8EFB-C47E5173C6A5}, 
-8528567.513,4761417.781,1099,27_1099, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,950096,24 E CROSS ST,Baltimore,MD,21230,1421768.365,586676.3465,SPOONS COFFEE, ,Federal Hill,10,2.45102E+14,9,SOUTHERN,18S UJ 60833 48749, , , ,{95F340C6-0963-4DFF-B8AE-F53C098DA969}, 
-8523676.883,4761734.399,1100,27_1100, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,6482011,1224 S CLINTON ST,Baltimore,MD,21224,1434201.454,587533.9119,SPORTS CAFE, ,Canton,1,2.45103E+14,2,SOUTHEASTERN,18S UJ 64627 48926, , , ,{3018D27A-068C-4F3B-AE87-E262BEFE515F}, 
-8535588.37,4772137.07,1101,27_1101, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,4556001,Hayward Ave & Winner Ave,Baltimore,MD,21215,1403818.124,613742.3751,SPORTS PALACE, ,Pimlico Good Neighbors,5,2.45103E+14,6,NORTHWESTERN,18S UJ 55546 57116, , , ,{26BD75E5-ECC1-4027-A819-4D485FAC3CB2}, 
-8537799.586,4769159.708,1102,27_1102, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,8305008,4725  GWYNN OAK AVE,Baltimore,MD,21207,1398225.945,606188.8329,SPORTSMAN LOUNGE BAR, ,Howard Park,5,2.45103E+14,6,NORTHWESTERN,18S UJ 53792 54852, , , ,{93AD1936-87E9-499F-B0AE-10AC4E254001}, 
-8522400.865,4762816.384,1103,27_1103, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,6550006,501 S LEHIGH ST,Baltimore,MD,21224,1437432.995,590289.6061,SPORTSMAN SPOT, ,Greektown,2,2.45103E+14,2,SOUTHEASTERN,18S UJ 65630 49744, , , ,{558E2050-BBB3-4EE1-9E92-136330230650}, 
-8532623.858,4762007.965,1104,27_1104, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,697018,2148  WILKENS AVE,Baltimore,MD,21223,1411447.328,588129.4858,"SPORTSTERS, INC.", ,Carrollton Ridge,9,2.45102E+14,8,SOUTHWESTERN,18S UJ 57698 49261, , , ,{2BD4F881-9A09-434B-AD4C-0DD81C6D4D01}, 
-8529193.808,4767292.396,1105,27_1105, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,3625011,118 W 25TH ST,Baltimore,MD,21218,1420113.623,601544.4765,ST. MARY'S (118-120), ,Charles Village,7,2.45101E+14,5,NORTHERN,18S UJ 60429 53290, , , ,{74E78422-ECE6-4166-9BD3-91B6B8DD560A}, 
-8528123.974,4769002.76,1106,27_1106, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,3884002,3351-53  GREENMOUNT AVE,Baltimore,MD,21218,1422814.125,605885.0981,STADIUM LOUNGE, ,Oakenshawe,14,2.45101E+14,5,NORTHERN,18S UJ 61281 54594, , , ,{B9DAFF0B-4F2E-4AEF-85CF-607B551D4285}, 
-8528209.67,4763234.659,1107,27_1107, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1349002,5  COMMERCE ST,Baltimore,MD,21202,1422658.713,591281.5483,STAGE DOOR/ENCORE, ,Downtown,11,2.45104E+13,1,CENTRAL,18S UJ 61136 50146, , , ,{C7BFB376-A526-481F-8E60-2B021569DE67}, 
-8528561.258,4761418.538,1108,27_1108, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,950096,26 E CROSS ST,Baltimore,MD,21230,1421784.264,586678.3297,STALKING HORSE, ,Federal Hill,10,2.45102E+14,9,SOUTHERN,18S UJ 60838 48749, , , ,{E3FF44FE-0C86-4B3C-86F7-A28862E127AF}, 
-8522748.458,4764688.391,1109,27_1109, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,PSC0065,4215 E MONUMENT ST,Baltimore,MD,21205,1436526.401,595025.623,STANLEY'S DRIVE INN, ,Orangeville,2,2.45103E+14,3,EASTERN,18S UJ 65386 51193, , , ,{58D20BA2-CDEC-4B8C-A2D5-A88CE282403D}, 
-8528536.26,4762594.375,1110,27_1110, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,890003,301  LIGHT ST,Baltimore,MD,21202,1421835.212,589656.5592,STARBUCKS, ,Inner Harbor,11,2.45102E+14,1,CENTRAL,18S UJ 60874 49656, , , ,{F94C6963-2758-4EA8-AA63-7DA34EF89BC4}, 
-8532574.785,4774504.195,1111,27_1111, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,4660001,1340  SMITH AVE,Baltimore,MD,21209,1411450.649,619759.1064,STARBUCKS  COFFEE #746, ,Sabina-Mattfeldt,5,2.45103E+14,5,NORTHERN,18S UJ 57912 58898, , , ,{6AC6586E-87A4-4E5A-A46F-781A9FEB48C8}, 
-8525117.475,4762135.532,1112,27_1112, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1864066,2400  BOSTON ST,Baltimore,MD,21224,1430533.499,588532.8227,STARBUCKS COFFEE, ,Canton,1,2.45101E+13,2,SOUTHEASTERN,18S UJ 63516 49255, , , ,{9967BB43-A832-40F5-AF38-57A158FAB45B}, 
-8528840.21,4768615.893,1113,27_1113, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,3864019,"3201  ST. PAUL ST., SUITE C",Baltimore,MD,21218,1420998.21,604898.2336,STARBUCKS COFFEE, ,Charles Village,14,2.45101E+14,5,NORTHERN,18S UJ 60721 54306, , , ,{5DC5036C-C18C-4EF4-AD7D-1B6BC667ED6B}, 
-8529401.686,4763201.074,1114,27_1114, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,632003,1 N EUTAW ST,Baltimore,MD,21201,1419628.306,591183.7372,STARBUCKS COFFEE COMPANY, ,Downtown,11,2.45104E+13,1,CENTRAL,18S UJ 60212 50136, , , ,{D401E1F8-F2A9-436B-8FFB-AF73153236A6}, 
-8528860.47,4765246.904,1115,27_1115, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,484034,1209 N CHARLES ST,Baltimore,MD,21201,1420982.593,596369.7007,STARBUCKS CORPORATION, ,Mid-Town Belvedere,12,2.45101E+14,1,CENTRAL,18S UJ 60659 51707, , , ,{95AA552F-9AD7-41A7-801F-CCD78FD609DD}, 
-8533678.23,4763051.019,1116,27_1116, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,2169030,2701 W FAIRMOUNT AVE,Baltimore,MD,21217,1408756.351,590760.8808,STARLITE LOUNGE, ,Shipley Hill,9,2.45102E+14,8,SOUTHWESTERN,18S UJ 56896 50081, , , ,{84873508-5005-46A5-8294-F14E4D5CFB40}, 
-8531474.661,4757514.286,1117,27_1117, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,7628036B,3311  ANNAPOLIS RD,Baltimore,MD,21230,1414414.523,576757.5407,STARTERS TAVERN, ,Cherry Hill,10,2.45103E+14,9,SOUTHERN,18S UJ 58526 45776, , , ,{6DF9DCA8-8CD5-4D2B-9CDE-7857932A9D62}, 
-8528909.811,4766211.489,1118,27_1118, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,389007,1816 N CHARLES ST,Baltimore,MD,21201,1420846.906,598811.2247,STATION NORTH ARTS CAF, ,Charles North,12,2.45101E+14,1,CENTRAL,18S UJ 60634 52452, , , ,{8AAA653A-369D-40DB-A4F1-AC31CEE45A7D}, 
-8520638.573,4762794.409,1119,27_1119, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,6694122,540  DUNDALK AVE,Baltimore,MD,21224,1441914.159,590256.0368,STEELWORKERS HOLDING COMPANY, ,Pulaski Industrial Area,1,2.45103E+14,2,SOUTHEASTERN,18S UJ 66996 49704, , , ,{7AC47A8D-ACA2-4A13-9D77-FE26BA42B72F}, 
-8525291.589,4765260.955,1120,27_1120, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1555047,2401 E CHASE ST,Baltimore,MD,21213,1430054.693,596445.0237,STEEPLE CHASE II, ,Biddle Street,13,2.45108E+13,3,EASTERN,18S UJ 63424 51669, , , ,{54C2181F-D74E-4BB3-8AB3-D564FD6DF726}, 
-8528083.083,4756033.179,1121,27_1121, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,7037A010,3538 S HANOVER ST,Baltimore,MD,21225,1423058.689,573040.0462,STOCKMARKET BAR, ,Brooklyn,10,2.45103E+14,9,SOUTHERN,18S UJ 61135 44585, , , ,{ABAFB72A-8E15-401D-92F7-C079828EB989}, 
-8526998.552,4766452.962,1122,27_1122, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1100028,1400 E NORTH AVE,Baltimore,MD,21213,1425702.274,599443.3954,SUBWAY, ,Oliver,12,2.45109E+13,3,EASTERN,18S UJ 62118 52612, , , ,{7ECB3699-39F6-4722-9330-9C1BAAA9B99B}, 
-8525666.197,4771350.631,1123,27_1123, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,3969I048,1700 E COLDSPRING LN,Baltimore,MD,21251,1429032.752,611854.1311,SUBWAY, ,Stonewood-Pentwood-Winston,3,2.45103E+14,4,NORTHEASTERN,18S UJ 63216 56371, , , ,{A0DD77D1-33B5-48A6-BBD0-23C4400E3B66}, 
-8528456.463,4763470.073,1124,27_1124, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,611001,200 e lexington st,Baltimore,MD,21202,1422028.699,591875.0146,subway, ,Downtown,11,2.45104E+13,1,CENTRAL,18S UJ 60948 50331, , , ,{BEC29675-6C0E-48D2-8AA9-9D9DAD14C67C}, 
